stem	knn	llfpm10	suffix	suffix_initial	back	front	form_varies
karter	-1.2176961802337163	0.13926501315555695	Ill	C	74	57	TRUE
karter	-1.2176961802337163	0.13926501315555695	Ine	C	24	59	TRUE
karter	-1.2176961802337163	0.13926501315555695	Ela	C	2	38	TRUE
karter	-1.2176961802337163	0.13926501315555695	Ins	C	1	18	TRUE
karter	-1.2176961802337163	0.13926501315555695	Supe	V	0	16	FALSE
karter	-1.2176961802337163	0.13926501315555695	Ade	C	2	13	TRUE
karter	-1.2176961802337163	0.13926501315555695	Dat	C	0	10	FALSE
karter	-1.2176961802337163	0.13926501315555695	Abl	C	2	9	TRUE
karter	-1.2176961802337163	0.13926501315555695	All	C	7	6	TRUE
karter	-1.2176961802337163	0.13926501315555695	Poss.3Sg	C	1	2	TRUE
karter	-1.2176961802337163	0.13926501315555695	Subl	C	0	2	FALSE
karter	-1.2176961802337163	0.13926501315555695	Del	C	0	2	FALSE
sumer	-0.3321097470533499	1.0545026216751352	Pl	V	711	386	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Ine	C	88	123	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Dat	C	45	81	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Ins	C	36	19	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Ela	C	19	27	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Abl	C	27	13	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Ill	C	20	10	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Subl	C	12	9	TRUE
sumer	-0.3321097470533499	1.0545026216751352	All	C	9	9	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Supe	V	9	5	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Del	C	6	1	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Pl.Poss.3Sg	C	2	1	TRUE
sumer	-0.3321097470533499	1.0545026216751352	Ade	C	1	0	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Pl	V	0	214	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Acc	V	0	169	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Supe	V	0	44	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Dat	C	0	40	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Ins	C	0	25	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Poss.3Sg	C	1	22	TRUE
korvett	-3.2055673192799587	0.3058136782559591	Subl	C	1	20	TRUE
korvett	-3.2055673192799587	0.3058136782559591	Ela	C	0	17	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Abl	C	0	16	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Pl.Poss.3Sg	C	0	15	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Poss.1Sg	V	0	13	FALSE
korvett	-3.2055673192799587	0.3058136782559591	All	C	2	6	TRUE
korvett	-3.2055673192799587	0.3058136782559591	Ade	C	0	6	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Del	C	0	6	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Ine	C	0	3	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Ill	C	0	2	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Poss.1Pl	V	0	2	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Poss.2Sg	V	0	1	FALSE
korvett	-3.2055673192799587	0.3058136782559591	Poss.3Pl	C	0	1	FALSE
macesz	1.7918062714652105	0.375579529103281	Ill	C	29	6	TRUE
macesz	1.7918062714652105	0.375579529103281	Ela	C	24	24	TRUE
macesz	1.7918062714652105	0.375579529103281	Dat	C	21	10	TRUE
macesz	1.7918062714652105	0.375579529103281	Subl	C	14	17	TRUE
macesz	1.7918062714652105	0.375579529103281	All	C	7	10	TRUE
macesz	1.7918062714652105	0.375579529103281	Del	C	8	6	TRUE
macesz	1.7918062714652105	0.375579529103281	Ine	C	6	2	TRUE
macesz	1.7918062714652105	0.375579529103281	Abl	C	0	4	FALSE
macesz	1.7918062714652105	0.375579529103281	Ade	C	1	3	TRUE
macesz	1.7918062714652105	0.375579529103281	Supe	V	3	2	TRUE
macesz	1.7918062714652105	0.375579529103281	Poss.3Sg	V	1	2	TRUE
macesz	1.7918062714652105	0.375579529103281	Pl	V	2	1	TRUE
macesz	1.7918062714652105	0.375579529103281	Poss.3Pl	V	1	0	FALSE
macesz	1.7918062714652105	0.375579529103281	Poss.1Pl	V	0	1	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Poss.3Sg	V	186	49	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Pl.Poss.3Sg	V	141	58	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Pl	V	80	33	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Pl.Poss.3Pl	V	29	12	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Dat	C	26	18	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Abl	C	0	6	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Poss.3Pl	V	6	2	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Poss.1Sg	V	5	0	FALSE
samesz	-1.4957856043345326	0.4668618282549646	All	C	0	4	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Poss.2Sg	V	4	0	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Subl	C	2	0	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Poss.1Pl	V	2	2	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Ela	C	1	1	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Pl.Poss.1Pl	V	0	1	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Ade	C	1	1	TRUE
samesz	-1.4957856043345326	0.4668618282549646	Poss.2Pl	V	1	0	FALSE
samesz	-1.4957856043345326	0.4668618282549646	Del	C	0	1	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Subl	C	4	82	TRUE
sábesz	-1.2141043725779375	-0.06082861170966497	Supe	V	0	5	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Dat	C	3	5	TRUE
sábesz	-1.2141043725779375	-0.06082861170966497	Distr:nként/Adv	V	2	0	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Del	C	0	2	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Abl	C	0	2	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Poss.1Pl	V	0	2	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Poss.3Sg	V	0	1	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	Poss.1Sg	V	0	1	FALSE
sábesz	-1.2141043725779375	-0.06082861170966497	All	C	1	1	TRUE
sábesz	-1.2141043725779375	-0.06082861170966497	Poss.3Pl	V	0	1	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Acc	V	4	12	TRUE
flóbert	-1.1175437416360985	-0.17940182556505124	Pl	V	0	11	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Ins	C	1	10	TRUE
flóbert	-1.1175437416360985	-0.17940182556505124	All	C	0	3	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Poss.3Sg	C	0	3	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Subl	C	0	3	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Poss.3Pl	C	0	2	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Dat	C	0	2	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Ill	C	0	1	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Poss.1Sg	V	0	1	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Supe	V	0	1	FALSE
flóbert	-1.1175437416360985	-0.17940182556505124	Abl	C	0	1	FALSE
káder	-2.241864119350936	1.0191292004490349	Pl	V	5	2680	TRUE
káder	-2.241864119350936	1.0191292004490349	Pl.Poss.3Sg	V	0	438	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.3Sg	V	0	222	FALSE
káder	-2.241864119350936	1.0191292004490349	Dat	C	20	164	TRUE
káder	-2.241864119350936	1.0191292004490349	Pl.Poss.3Pl	V	0	76	FALSE
káder	-2.241864119350936	1.0191292004490349	Pl.Poss.1Pl	V	0	76	FALSE
káder	-2.241864119350936	1.0191292004490349	Ins	C	4	70	TRUE
káder	-2.241864119350936	1.0191292004490349	All	C	3	25	TRUE
káder	-2.241864119350936	1.0191292004490349	Transl	C	0	20	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.3Pl	V	0	20	FALSE
káder	-2.241864119350936	1.0191292004490349	Ela	C	0	17	FALSE
káder	-2.241864119350936	1.0191292004490349	Subl	C	2	17	TRUE
káder	-2.241864119350936	1.0191292004490349	Abl	C	2	12	TRUE
káder	-2.241864119350936	1.0191292004490349	Ade	C	9	11	TRUE
káder	-2.241864119350936	1.0191292004490349	Poss.1Pl	V	0	10	FALSE
káder	-2.241864119350936	1.0191292004490349	Supe	V	0	5	FALSE
káder	-2.241864119350936	1.0191292004490349	Del	C	0	5	FALSE
káder	-2.241864119350936	1.0191292004490349	Ill	C	4	3	TRUE
káder	-2.241864119350936	1.0191292004490349	Ine	C	0	4	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.2Sg	V	0	4	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.1Sg	V	0	3	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.3Sg	C	2	0	FALSE
káder	-2.241864119350936	1.0191292004490349	Pl.Poss.1Sg	V	0	1	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.2Pl	V	0	1	FALSE
káder	-2.241864119350936	1.0191292004490349	Poss.3Pl	C	1	0	FALSE
panel	-0.8755606473084692	2.4164305848960708	Pl	V	1439	26502	TRUE
panel	-0.8755606473084692	2.4164305848960708	Supe	V	1837	14549	TRUE
panel	-0.8755606473084692	2.4164305848960708	Ins	C	689	4872	TRUE
panel	-0.8755606473084692	2.4164305848960708	Ine	C	4832	4651	TRUE
panel	-0.8755606473084692	2.4164305848960708	Subl	C	994	2955	TRUE
panel	-0.8755606473084692	2.4164305848960708	Ela	C	622	2177	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.3Sg	C	649	1915	TRUE
panel	-0.8755606473084692	2.4164305848960708	Del	C	232	1732	TRUE
panel	-0.8755606473084692	2.4164305848960708	Ill	C	1393	1112	TRUE
panel	-0.8755606473084692	2.4164305848960708	Dat	C	236	1375	TRUE
panel	-0.8755606473084692	2.4164305848960708	All	C	226	1309	TRUE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.3Sg	C	134	783	TRUE
panel	-0.8755606473084692	2.4164305848960708	Ade	C	111	580	TRUE
panel	-0.8755606473084692	2.4164305848960708	Abl	C	50	338	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.3Sg	V	3	324	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.1Sg	V	105	245	TRUE
panel	-0.8755606473084692	2.4164305848960708	Distr:nként/Adv	V	12	168	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.1Pl	V	24	162	TRUE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.3Sg	V	0	158	FALSE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.1Pl	C	9	82	TRUE
panel	-0.8755606473084692	2.4164305848960708	Transl	C	10	66	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.2Sg	V	27	60	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.3Pl	C	7	55	TRUE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.3Pl	C	3	37	TRUE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.1Pl	V	0	29	FALSE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.1Sg	C	6	16	TRUE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.1Sg	V	0	9	FALSE
panel	-0.8755606473084692	2.4164305848960708	Pl.Poss.3Pl	V	0	7	FALSE
panel	-0.8755606473084692	2.4164305848960708	Acc	V	0	5	FALSE
panel	-0.8755606473084692	2.4164305848960708	Poss.2Pl	V	1	3	TRUE
panel	-0.8755606473084692	2.4164305848960708	Poss.3Pl	V	0	2	FALSE
fuser	-0.4972156146300658	-0.5905622036357516	Pl	V	3	7	TRUE
fuser	-0.4972156146300658	-0.5905622036357516	Dat	C	2	6	TRUE
fuser	-0.4972156146300658	-0.5905622036357516	Ins	C	0	3	FALSE
fuser	-0.4972156146300658	-0.5905622036357516	Pl.Poss.3Sg	C	0	2	FALSE
fuser	-0.4972156146300658	-0.5905622036357516	Abl	C	0	1	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Pl	V	2	7755	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Supe	V	5	1792	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Ins	C	7	1471	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Poss.3Sg	V	0	1200	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Subl	C	6	979	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Pl.Poss.3Sg	V	0	522	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Dat	C	11	504	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Del	C	2	225	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Poss.1Sg	V	1	198	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Ela	C	0	135	FALSE
poszter	-2.1474417659951563	1.7624880360068378	All	C	0	117	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Poss.1Pl	V	2	98	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Ade	C	0	56	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Ill	C	0	47	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Abl	C	0	44	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Ine	C	0	43	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Poss.3Pl	V	0	40	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Pl.Poss.3Pl	V	0	37	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Pl.Poss.1Pl	V	0	37	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Transl	C	0	37	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Poss.2Sg	V	0	33	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Pl.Poss.1Sg	V	0	22	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Poss.2Pl	V	0	4	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Poss.3Sg	C	4	1	TRUE
poszter	-2.1474417659951563	1.7624880360068378	Distr:nként/Adv	V	0	3	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Pl.Poss.3Pl	C	0	1	FALSE
poszter	-2.1474417659951563	1.7624880360068378	Pl.Poss.1Sg	C	0	1	FALSE
majszter	-1.3516746072769543	-0.796264317301551	Pl	V	0	14	FALSE
majszter	-1.3516746072769543	-0.796264317301551	Dat	C	1	3	TRUE
majszter	-1.3516746072769543	-0.796264317301551	Ill	C	0	1	FALSE
majszter	-1.3516746072769543	-0.796264317301551	Poss.2Sg	V	0	1	FALSE
majszter	-1.3516746072769543	-0.796264317301551	Ins	C	1	0	FALSE
majszter	-1.3516746072769543	-0.796264317301551	Del	C	0	1	FALSE
majszter	-1.3516746072769543	-0.796264317301551	Abl	C	0	1	FALSE
rakett	-2.049752117781575	-1.0817265357388826	Acc	V	2	10	TRUE
rakett	-2.049752117781575	-1.0817265357388826	Ins	C	0	8	FALSE
rakett	-2.049752117781575	-1.0817265357388826	Pl	V	0	2	FALSE
rakett	-2.049752117781575	-1.0817265357388826	Poss.1Sg	V	0	2	FALSE
rakett	-2.049752117781575	-1.0817265357388826	Poss.3Sg	C	0	1	FALSE
rakett	-2.049752117781575	-1.0817265357388826	Pl.Poss.3Sg	C	0	1	FALSE
rakett	-2.049752117781575	-1.0817265357388826	Subl	C	0	1	FALSE
modern	-1.4282003807441774	3.2002882565744417	Acc	V	0	297	FALSE
modern	-1.4282003807441774	3.2002882565744417	Poss.3Sg	V	19	26	TRUE
modern	-1.4282003807441774	3.2002882565744417	Ill	C	1	0	FALSE
modern	-1.4282003807441774	3.2002882565744417	Del	C	1	0	FALSE
modern	-1.4282003807441774	3.2002882565744417	Abl	C	1	0	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Pl	V	0	1764	FALSE
konszern	-1.9956507793902485	1.5587549012315391	All	C	0	1015	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Supe	V	0	930	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Dat	C	0	774	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Ins	C	0	497	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Poss.3Sg	C	0	488	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Ade	C	0	322	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Ine	C	0	267	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Abl	C	0	226	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Transl	C	0	174	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Ill	C	0	123	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Subl	C	0	113	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Del	C	0	84	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Ela	C	0	43	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Poss.1Pl	V	0	40	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Pl.Poss.3Sg	C	0	20	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Poss.3Sg	V	0	3	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Poss.3Pl	C	3	0	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Poss.1Sg	V	0	2	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Pl.Poss.3Pl	C	0	2	FALSE
konszern	-1.9956507793902485	1.5587549012315391	Distr:nként/Adv	V	0	1	FALSE
saller	-1.195197428031515	0.9310512982678172	Pl	V	0	3801	FALSE
saller	-1.195197428031515	0.9310512982678172	Ins	C	48	46	TRUE
saller	-1.195197428031515	0.9310512982678172	Abl	C	2	26	TRUE
saller	-1.195197428031515	0.9310512982678172	Dat	C	7	19	TRUE
saller	-1.195197428031515	0.9310512982678172	Ill	C	13	18	TRUE
saller	-1.195197428031515	0.9310512982678172	Subl	C	7	18	TRUE
saller	-1.195197428031515	0.9310512982678172	Del	C	0	15	FALSE
saller	-1.195197428031515	0.9310512982678172	Ela	C	7	3	TRUE
saller	-1.195197428031515	0.9310512982678172	Poss.3Sg	V	0	7	FALSE
saller	-1.195197428031515	0.9310512982678172	Poss.3Sg	C	6	1	TRUE
saller	-1.195197428031515	0.9310512982678172	All	C	1	5	TRUE
saller	-1.195197428031515	0.9310512982678172	Ine	C	4	3	TRUE
saller	-1.195197428031515	0.9310512982678172	Pl.Poss.3Sg	V	0	3	FALSE
saller	-1.195197428031515	0.9310512982678172	Supe	V	0	3	FALSE
saller	-1.195197428031515	0.9310512982678172	Pl.Poss.3Sg	C	1	1	TRUE
saller	-1.195197428031515	0.9310512982678172	Ade	C	0	1	FALSE
saller	-1.195197428031515	0.9310512982678172	Poss.1Pl	V	0	1	FALSE
fotel	-2.046678184861635	1.918034842594317	Ine	C	4069	8185	TRUE
fotel	-2.046678184861635	1.918034842594317	Pl	V	754	5282	TRUE
fotel	-2.046678184861635	1.918034842594317	Ela	C	2056	4503	TRUE
fotel	-2.046678184861635	1.918034842594317	Ill	C	3232	3212	TRUE
fotel	-2.046678184861635	1.918034842594317	Ins	C	274	807	TRUE
fotel	-2.046678184861635	1.918034842594317	All	C	153	584	TRUE
fotel	-2.046678184861635	1.918034842594317	Subl	C	242	505	TRUE
fotel	-2.046678184861635	1.918034842594317	Dat	C	75	363	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.3Sg	C	258	276	TRUE
fotel	-2.046678184861635	1.918034842594317	Supe	V	202	263	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.1Pl	V	45	234	TRUE
fotel	-2.046678184861635	1.918034842594317	Del	C	53	173	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.2Sg	V	35	151	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.1Sg	V	90	143	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.3Sg	V	0	96	FALSE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.3Sg	C	9	84	TRUE
fotel	-2.046678184861635	1.918034842594317	Abl	C	27	68	TRUE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.1Pl	C	2	49	TRUE
fotel	-2.046678184861635	1.918034842594317	Ade	C	1	46	TRUE
fotel	-2.046678184861635	1.918034842594317	Transl	C	5	42	TRUE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.3Sg	V	0	41	FALSE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.1Pl	V	0	30	FALSE
fotel	-2.046678184861635	1.918034842594317	Poss.3Pl	C	4	21	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.2Pl	V	9	6	TRUE
fotel	-2.046678184861635	1.918034842594317	Distr:nként/Adv	V	0	3	FALSE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.3Pl	C	1	3	TRUE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.1Sg	V	0	2	FALSE
fotel	-2.046678184861635	1.918034842594317	Pl.Poss.1Sg	C	1	2	TRUE
fotel	-2.046678184861635	1.918034842594317	Poss.3Pl	V	0	2	FALSE
fotel	-2.046678184861635	1.918034842594317	Acc	V	0	1	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Pl	V	1	5956	TRUE
pollen	-1.2289162565335594	1.5346232211256754	Poss.3Sg	C	1	1682	TRUE
pollen	-1.2289162565335594	1.5346232211256754	Subl	C	1	763	TRUE
pollen	-1.2289162565335594	1.5346232211256754	Pl.Poss.3Sg	C	0	637	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Ins	C	0	603	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Abl	C	2	236	TRUE
pollen	-1.2289162565335594	1.5346232211256754	Ine	C	0	177	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Ela	C	0	103	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Dat	C	0	66	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Poss.3Pl	C	1	54	TRUE
pollen	-1.2289162565335594	1.5346232211256754	Supe	V	0	47	FALSE
pollen	-1.2289162565335594	1.5346232211256754	All	C	0	39	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Ill	C	0	34	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Del	C	1	27	TRUE
pollen	-1.2289162565335594	1.5346232211256754	Pl.Poss.3Pl	C	0	20	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Poss.3Sg	V	0	13	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Pl.Poss.3Sg	V	0	9	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Ade	C	0	7	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Transl	C	0	2	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Poss.1Pl	V	0	2	FALSE
pollen	-1.2289162565335594	1.5346232211256754	Poss.1Sg	V	0	1	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Ine	C	33	946	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Subl	C	20	937	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Ins	C	13	614	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Ill	C	18	497	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Ela	C	12	156	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Dat	C	2	130	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Ade	C	3	112	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Del	C	5	111	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Supe	V	0	106	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Pl	V	0	79	FALSE
rubel	-1.2575336048074612	1.3648850069419438	All	C	6	66	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Poss.1Sg	V	0	39	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Poss.3Sg	C	5	37	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Abl	C	0	33	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Poss.1Pl	V	1	15	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Poss.2Sg	V	0	10	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Poss.3Sg	V	0	9	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Distr:nként/Adv	V	0	6	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Transl	C	1	6	TRUE
rubel	-1.2575336048074612	1.3648850069419438	Poss.3Pl	C	0	4	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Poss.3Pl	V	0	2	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Pl.Poss.3Sg	V	0	1	FALSE
rubel	-1.2575336048074612	1.3648850069419438	Pl.Poss.3Pl	C	0	1	FALSE
projekt	-2.3108558802881403	3.416526341311925	Pl	V	2	233695	TRUE
projekt	-2.3108558802881403	3.416526341311925	Acc	V	12	113771	TRUE
projekt	-2.3108558802881403	3.416526341311925	Ine	C	14	80887	TRUE
projekt	-2.3108558802881403	3.416526341311925	Poss.3Sg	C	3	44663	TRUE
projekt	-2.3108558802881403	3.416526341311925	All	C	0	35366	FALSE
projekt	-2.3108558802881403	3.416526341311925	Ins	C	6	29986	TRUE
projekt	-2.3108558802881403	3.416526341311925	Dat	C	6	27187	TRUE
projekt	-2.3108558802881403	3.416526341311925	Subl	C	24	22052	TRUE
projekt	-2.3108558802881403	3.416526341311925	Ill	C	15	20570	TRUE
projekt	-2.3108558802881403	3.416526341311925	Del	C	32	18990	TRUE
projekt	-2.3108558802881403	3.416526341311925	Supe	V	0	18241	FALSE
projekt	-2.3108558802881403	3.416526341311925	Poss.1Pl	V	36	14510	TRUE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.3Sg	C	1	10123	TRUE
projekt	-2.3108558802881403	3.416526341311925	Ela	C	24	6655	TRUE
projekt	-2.3108558802881403	3.416526341311925	Poss.3Pl	C	10	5563	TRUE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.1Pl	C	0	4273	FALSE
projekt	-2.3108558802881403	3.416526341311925	Poss.1Sg	V	1	3669	TRUE
projekt	-2.3108558802881403	3.416526341311925	Ade	C	2	3466	TRUE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.3Pl	C	0	2676	FALSE
projekt	-2.3108558802881403	3.416526341311925	Distr:nként/Adv	V	0	2180	FALSE
projekt	-2.3108558802881403	3.416526341311925	Abl	C	3	1764	TRUE
projekt	-2.3108558802881403	3.416526341311925	Poss.2Sg	V	0	1413	FALSE
projekt	-2.3108558802881403	3.416526341311925	Transl	C	0	1023	FALSE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.1Sg	C	0	632	FALSE
projekt	-2.3108558802881403	3.416526341311925	Poss.3Sg	V	0	397	FALSE
projekt	-2.3108558802881403	3.416526341311925	Poss.2Pl	V	2	234	TRUE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.1Pl	V	0	23	FALSE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.3Sg	V	0	18	FALSE
projekt	-2.3108558802881403	3.416526341311925	Poss.3Pl	V	0	14	FALSE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.1Sg	V	0	10	FALSE
projekt	-2.3108558802881403	3.416526341311925	Pl.Poss.3Pl	V	0	2	FALSE
